tileDepthTextureAssignments
{
    VERSION = 1,
    airplane_tiles_02_Simon_MD_101 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_11 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_12 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_123 = airplane_tiles_02_Simon_MD_122,
    airplane_tiles_02_Simon_MD_124 = airplane_tiles_02_Simon_MD_122,
    airplane_tiles_02_Simon_MD_13 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_137 = airplane_tiles_02_Simon_MD_136,
    airplane_tiles_02_Simon_MD_14 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_144 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_15 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_152 = airplane_tiles_02_Simon_MD_151,
    airplane_tiles_02_Simon_MD_157 = airplane_tiles_02_Simon_MD_156,
    airplane_tiles_02_Simon_MD_158 = airplane_tiles_02_Simon_MD_156,
    airplane_tiles_02_Simon_MD_159 = airplane_tiles_02_Simon_MD_156,
    airplane_tiles_02_Simon_MD_160 = airplane_tiles_02_Simon_MD_156,
    airplane_tiles_02_Simon_MD_161 = airplane_tiles_02_Simon_MD_156,
    airplane_tiles_02_Simon_MD_162 = airplane_tiles_02_Simon_MD_156,
    airplane_tiles_02_Simon_MD_163 = airplane_tiles_02_Simon_MD_156,
    airplane_tiles_02_Simon_MD_164 = airplane_tiles_02_Simon_MD_156,
    airplane_tiles_02_Simon_MD_165 = airplane_tiles_02_Simon_MD_156,
    airplane_tiles_02_Simon_MD_166 = airplane_tiles_02_Simon_MD_156,
    airplane_tiles_02_Simon_MD_19 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_20 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_21 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_215 = airplane_tiles_02_Simon_MD_214,
    airplane_tiles_02_Simon_MD_216 = airplane_tiles_02_Simon_MD_214,
    airplane_tiles_02_Simon_MD_219 = airplane_tiles_02_Simon_MD_214,
    airplane_tiles_02_Simon_MD_22 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_220 = airplane_tiles_02_Simon_MD_214,
    airplane_tiles_02_Simon_MD_221 = airplane_tiles_02_Simon_MD_214,
    airplane_tiles_02_Simon_MD_225 = airplane_tiles_02_Simon_MD_214,
    airplane_tiles_02_Simon_MD_226 = airplane_tiles_02_Simon_MD_214,
    airplane_tiles_02_Simon_MD_229 = airplane_tiles_02_Simon_MD_214,
    airplane_tiles_02_Simon_MD_23 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_230 = airplane_tiles_02_Simon_MD_214,
    airplane_tiles_02_Simon_MD_234 = airplane_tiles_02_Simon_MD_214,
    airplane_tiles_02_Simon_MD_237 = airplane_tiles_02_Simon_MD_214,
    airplane_tiles_02_Simon_MD_242 = airplane_tiles_02_Simon_MD_214,
    airplane_tiles_02_Simon_MD_26 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_27 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_28 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_29 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_30 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_34 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_35 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_36 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_37 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_38 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_39 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_40 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_41 = airplane_tiles_02_Simon_MD_10,
    airplane_tiles_02_Simon_MD_47 = airplane_tiles_02_Simon_MD_10,
